,Film,Director,Cast
87,The Wild Child,François Truffaut,Eva Truffaut:Gitt Magrini:Jean-François Stévenin:Laura Truffaut:Robert Cambourakis
88,Amazing Grace,Alan Elliott Sydney Pollack,null
89,Shadow of a Doubt,Alfred Hitchcock,Bill Bates:Clarence Muse:Estelle Jewell:Janet Shaw:Virginia Brissac
90,Inside Out,Pete Docter Ronaldo Del Carmen,Amy Poehler:Bill Hader:Bob Bergen:Bobby Moynihan:Carlos Alazraqui:Danny Mann:Dave Goelz:Diane Lane:Flea:Frank Oz:Jess Harnell:John Cygan:John Ratzenberger:Josh Cooley:Kaitlyn Dias:Kyle MacLachlan:Laraine Newman:Lewis Black:Lori Alan:Mindy Kaling:Paris Van Dyke:Paula Pell:Paula Poundstone:Phyllis Smith:Rashida Jones:Richard Kind:Sherry Lynn:Teresa Ganzel
91,Sideways,null,null
92,Schindler's List,Steven Spielberg,Andrzej Seweryn:Béatrice Macola:Ben Kingsley:Caroline Goodall:Embeth Davidtz:Friedrich von Thun:Harry Nehring:Jonathan Sagall:Krzysztof Luft:Malgoscha Gebel:Mark Ivanir:Norbert Weisser:Shmuel Levy
93,Meet Me in St. Louis,null,null
94,The Apartment,Billy Wilder,David White:Dorothy Abbott:Edie Adams:Joyce Jameson:Willard Waterman
95,Apocalypse Now,Francis Ford Coppola,Albert Hall:Bo Byers:Dennis Hopper:Frederic Forrest:G.D. Spradlin:Harrison Ford:James Keane:Jerry Ziesmer:Kerry Rossall:Laurence Fishburne:Robert Duvall:Sam Bottoms:Scott Glenn
96,The Gunfighter,Henry King,Beulah Archuletta:C.E. Anderson:Carl Andre:Murray Alper:Victor Adamson
97,We Were Here,Bill Weber David Weissman,Bobbi Campbell:Cleve Jones:Daniel Goldstein:Ed Wolf:Eileen Glutzer:Guy Clark:Guy Clark:Paul Boneberg
98,Lady Bird,Greta Gerwig,Andy Buckley:Bayne Gibby:Beanie Feldstein:Christina Offley:Daniel Zovatto:Danielle Macdonald:Jake McDorman:John Karna:Jordan Rodrigues:Kathryn Newton:Kristen Cloke:Laura Marano:Lois Smith:Lucas Hedges:Marielle Scott:Stephen Henderson:Tracy Letts
99,Chimes at Midnight,Orson Welles,Alan Webb:Fernando Rey:Jeremy Rowe:Keith Baxter:Keith Pyott
100,The Lord of the Rings: The Return of the King,Peter Jackson,Alexandra Astin:Alistair Browning:Bernard Hill:Billy Boyd:Cate Blanchett:David Aston:Ian McKellen:Jason Fitch:John Bach:Marton Csokas:Noel Appleby:Orlando Bloom:Richard Edge:Sadwyn Brophy:Sean Astin:Sean Bean
101,Carlos,null,null
102,Marriage Story,Noah Baumbach,Albert Jones:Annie Hamilton:Ayden Mayeri:Azhy Robertson:Brooke Bloom:Jasmine Cephas Jones:Julie Hagerty:Kyle Bornheimer:Mark O'Brien:Martha Kelly:Mary Hollis Inboden:Mary Wiseman:Matthew Maher:Mickey Sumner:Motell Gyn Foster:Pete Simpson:Raymond J. Lee:Robert Smigel
103,La La Land,Damien Chazelle,Amanda Fields:Amiée Conn:Ana Flavia Gavlak:Andres Perez-Molina:Ashley Caple:Callie Hernandez:Cameron Brinkman:Candice Coke:Christopher Aber:Cinda Adams:Claudine Claudio:D.A. Wallach:Emma Stone:Finn Wittrock:Hemky Madera:J.K. Simmons:Jason Fuchs:Jessica Rothe:John Legend:Jordan Ray Fox:Josh Pence:Kaye L. Morris:Kc Monnie:Kiff VandenHeuvel:Kristin Slaysman:Margaret Newborn:Meagen Fay:Miles Anderson:Morgan Larson:Nilla Watkins:Phillip E. Walker:Rosemarie DeWitt:Ryan Gosling:Sandra Rosko:Shannon Klein:Shannon Leann:Sonoya Mizuno:Terry Walters:Thom Shelton:Tom Everett Scott:Trevor Lissauer:Zoë Hall
104,Faces Places,null,null
105,"Crouching Tiger, Hidden Dragon",Ang Lee,Chen Chang:De Ming Wang:Fa Zeng Li:Jin Ting Zhang:Kai Li:Li Li:Pei-pei Cheng:Rei Yang:Sihung Lung:Su Ying Huang:Xian Gao:Yan Hai
106,Nomadland,Chloé Zhao,Annette Webb:Annette Wells:Bob Wells:Brandy Wilber:Karie Lynn McDermott Wilder:Makenzie Etcheverry:Rachel Bannon
107,The Servant,Joseph Losey,Alun Owen:Ann Firbank:Brian Phelan:Catherine Lacey:Derek Tansley:Doris Knox:Harold Pinter:Hazel Terry:Jill Melford:Patrick Magee:Richard Vernon
108,Call Me by Your Name,Luca Guadagnino,Amira Casar:Andre Aciman:Antonio Rimoldi:Armie Hammer:Elena Bucci:Esther Garrel:Marco Sgrosso:Michael Stuhlbarg:Peter Spears:Timoth:Vanda Capriolo:Victoire Du Bois:Xhuliano Ujka
109,The Magnificent Ambersons,null,null
